time,lat,lon,alt,speed,climb,track,mode
2025-12-09T02:42:40.600Z,37.498672423,-121.949927837,21.7884,0.046,-0.016,106.6465,3
2025-12-09T02:42:40.700Z,37.498672457,-121.949927705,21.7672,0.027,-0.013,69.211,3
2025-12-09T02:42:40.700Z,37.498672457,-121.949927705,21.7672,0.027,-0.013,69.211,3
2025-12-09T02:42:40.800Z,37.498672478,-121.949927824,21.7476,0.028,-0.011,232.3988,3
2025-12-09T02:42:40.800Z,37.498672478,-121.949927824,21.7476,0.028,-0.011,232.3988,3
2025-12-09T02:42:40.900Z,37.498672511,-121.949927692,21.7264,0.036,-0.005,162.7723,3
2025-12-09T02:42:40.900Z,37.498672511,-121.949927692,21.7264,0.036,-0.005,162.7723,3
2025-12-09T02:42:41.000Z,37.498672562,-121.949927716,21.7026,0.022,-0.012,354.4217,3
2025-12-09T02:42:41.000Z,37.498672562,-121.949927716,21.7026,0.022,-0.012,354.4217,3
2025-12-09T02:42:41.100Z,37.49867257,-121.949927644,21.6686,0.028,-0.014,197.4325,3
2025-12-09T02:42:41.100Z,37.49867257,-121.949927644,21.6686,0.028,-0.014,197.4325,3
2025-12-09T02:42:54.900Z,37.49867523,-121.949931606,21.2346,0.007,-0.007,314.3068,3
2025-12-09T02:42:54.900Z,37.49867523,-121.949931606,21.2346,0.007,-0.007,314.3068,3
2025-12-09T02:42:55.000Z,37.498675259,-121.94993151,21.2304,0.037,-0.007,33.2995,3
2025-12-09T02:42:55.000Z,37.498675259,-121.94993151,21.2304,0.037,-0.007,33.2995,3
2025-12-09T02:42:55.100Z,37.498675305,-121.94993157,21.2237,0.011,-0.02,282.7604,3
2025-12-09T02:42:55.100Z,37.498675305,-121.94993157,21.2237,0.011,-0.02,282.7604,3
2025-12-09T02:42:55.300Z,37.498675338,-121.949931438,21.2025,0.044,-0.017,124.1734,3
2025-12-09T02:42:55.400Z,37.49867541,-121.949931438,21.2086,0.022,-0.005,165.8776,3
2025-12-09T02:42:55.400Z,37.49867541,-121.949931438,21.2086,0.022,-0.005,165.8776,3
2025-12-09T02:42:55.500Z,37.498675439,-121.949931342,21.2044,0.046,-0.006,135.0075,3
2025-12-09T02:42:55.500Z,37.498675439,-121.949931342,21.2044,0.046,-0.006,135.0075,3
2025-12-09T02:42:55.600Z,37.49867541,-121.949931438,21.2086,0.031,0.007,235.3433,3
2025-12-09T02:42:55.600Z,37.49867541,-121.949931438,21.2086,0.031,0.007,235.3433,3
2025-12-09T02:42:55.600Z,37.49867541,-121.949931438,21.2086,0.031,0.007,235.3433,3
2025-12-09T02:42:55.700Z,37.498675539,-121.949931246,21.2063,0.051,-0.005,34.3928,3
2025-12-09T02:42:55.700Z,37.498675539,-121.949931246,21.2063,0.051,-0.005,34.3928,3
2025-12-09T02:42:55.800Z,37.498675543,-121.94993121,21.1893,0.032,-0.02,28.0353,3
2025-12-09T02:42:55.800Z,37.498675543,-121.94993121,21.1893,0.032,-0.02,28.0353,3
2025-12-09T02:42:55.900Z,37.498675644,-121.949931114,21.1911,0.028,-0.018,344.5014,3
2025-12-09T02:42:55.900Z,37.498675644,-121.949931114,21.1911,0.028,-0.018,344.5014,3
2025-12-09T02:42:56.000Z,37.498675719,-121.949931078,21.1802,0.014,-0.018,351.1979,3
2025-12-09T02:42:56.000Z,37.498675719,-121.949931078,21.1802,0.014,-0.018,351.1979,3
2025-12-09T02:42:56.100Z,37.498675791,-121.949931078,21.1863,0.025,-0.019,53.6674,3
2025-12-09T02:42:56.100Z,37.498675791,-121.949931078,21.1863,0.025,-0.019,53.6674,3
2025-12-09T02:42:56.300Z,37.498675895,-121.949930946,21.1712,0.03,-0.013,41.5347,3
2025-12-09T02:42:56.400Z,37.498675942,-121.949931005,21.1644,0.015,-0.009,246.5021,3
2025-12-09T02:42:56.400Z,37.498675942,-121.949931005,21.1644,0.015,-0.009,246.5021,3
2025-12-09T02:42:56.500Z,37.49867606,-121.949931065,21.1638,0.028,-0.011,232.3988,3
2025-12-09T02:42:56.500Z,37.49867606,-121.949931065,21.1638,0.028,-0.011,232.3988,3
2025-12-09T02:42:56.600Z,37.49867606,-121.949931065,21.1638,0.021,-0.008,203.9656,3
2025-12-09T02:42:56.600Z,37.49867606,-121.949931065,21.1638,0.021,-0.008,203.9656,3
2025-12-09T02:42:56.700Z,37.498676207,-121.949931029,21.159,0.026,-0.016,14.4936,3
2025-12-09T02:42:56.700Z,37.498676207,-121.949931029,21.159,0.026,-0.016,14.4936,3
2025-12-09T02:42:56.800Z,37.498676207,-121.949931029,21.159,0.047,-0.02,273.7592,3
2025-12-09T02:42:56.900Z,37.498676279,-121.949931029,21.165,0.014,-0.018,351.1979,3
2025-12-09T02:42:56.900Z,37.498676279,-121.949931029,21.165,0.014,-0.018,351.1979,3
2025-12-09T02:42:57.000Z,37.498676354,-121.949930993,21.1541,0.032,-0.02,28.0353,3
2025-12-09T02:42:57.000Z,37.498676354,-121.949930993,21.1541,0.032,-0.02,28.0353,3
